centroid_idx,n,mean,median,std,min,max
2147,2,6.555,6.555,0.14500000000000002,6.41,6.7
1752,2,7.38,7.38,0.6200000000000001,6.76,8.0
3059,2,7.515,7.515,0.665,6.85,8.18
1424,2,6.609999999999999,6.609999999999999,0.48999999999999977,6.12,7.1
2095,2,7.85,7.85,0.30000000000000027,7.55,8.15
10,2,7.15,7.15,0.44999999999999973,6.7,7.6
1108,2,7.025,7.025,0.07499999999999973,6.95,7.1
1078,2,6.845000000000001,6.845000000000001,0.23499999999999988,6.61,7.08
1053,2,7.075,7.075,0.16500000000000004,6.91,7.24
886,2,7.015,7.015,0.7050000000000001,6.31,7.72
2653,2,8.21,8.21,0.14999999999999947,8.06,8.36
3064,2,7.225,7.225,0.13500000000000023,7.09,7.36
3114,2,5.92,5.92,0.43999999999999995,5.48,6.36
48,2,6.835,6.835,0.01499999999999968,6.82,6.85
749,2,7.425,7.425,0.4249999999999998,7.0,7.85
1731,2,7.4399999999999995,7.4399999999999995,0.38000000000000034,7.06,7.82
2274,2,7.1,7.1,0.45999999999999996,6.64,7.56
1300,2,5.654999999999999,5.654999999999999,0.11499999999999977,5.54,5.77
1640,2,7.88,7.88,0.11000000000000032,7.77,7.99
2074,2,6.5600000000000005,6.5600000000000005,0.38000000000000034,6.18,6.94
545,2,8.46,8.46,0.23999999999999932,8.22,8.7
1133,2,5.335,5.335,0.28500000000000014,5.05,5.62
1942,2,5.88,5.88,0.5099999999999998,5.37,6.39
573,2,7.53,7.53,0.1299999999999999,7.4,7.66
1358,2,7.15,7.15,0.1499999999999999,7.0,7.3
3060,2,8.205,8.205,0.11500000000000021,8.09,8.32
2624,2,8.155000000000001,8.155000000000001,0.10499999999999954,8.05,8.26
484,2,6.55,6.55,0.4500000000000002,6.1,7.0
494,2,6.85,6.85,0.1499999999999999,6.7,7.0
489,2,5.949999999999999,5.949999999999999,0.3500000000000001,5.6,6.3
900,2,5.07,5.07,0.050000000000000266,5.02,5.12
981,2,5.98,5.98,0.06999999999999984,5.91,6.05
1493,2,6.765,6.765,0.665,6.1,7.43
1306,2,5.71,5.71,0.08999999999999986,5.62,5.8
2057,2,9.025,9.025,0.025000000000000355,9.0,9.05
1863,2,6.21,6.21,0.3099999999999996,5.9,6.52
2630,2,7.465,7.465,0.9250000000000003,6.54,8.39
1584,2,7.95,7.95,0.009999999999999787,7.94,7.96
1577,2,8.12,8.12,0.08000000000000007,8.04,8.2
1670,2,5.135,5.135,0.05500000000000016,5.08,5.19
1667,2,6.115,6.115,0.7250000000000001,5.39,6.84
1607,2,7.855,7.855,0.10499999999999998,7.75,7.96
1575,2,8.004999999999999,8.004999999999999,0.27499999999999947,7.73,8.28
1169,2,4.665,4.665,0.3049999999999997,4.36,4.97
1051,2,7.145,7.145,0.395,6.75,7.54
1012,2,6.76,6.76,0.54,6.22,7.3
978,2,6.2,6.2,0.08999999999999986,6.11,6.29
823,2,4.6,4.6,0.0,4.6,4.6
815,2,5.325,5.325,0.17499999999999982,5.15,5.5
813,2,7.845,7.845,0.07500000000000018,7.77,7.92
762,2,8.275,8.275,0.025000000000000355,8.25,8.3
730,2,8.754999999999999,8.754999999999999,0.09499999999999975,8.66,8.85
444,2,5.995,5.995,0.6550000000000002,5.34,6.65
427,2,6.199999999999999,6.199999999999999,0.10000000000000009,6.1,6.3
278,2,5.55,5.55,0.5499999999999998,5.0,6.1
225,2,5.885,5.885,0.6749999999999998,5.21,6.56
108,2,5.46,5.46,1.0,4.46,6.46
78,2,4.76,4.76,0.2799999999999998,4.48,5.04
